"","Origin","Target","Distance"
"386","Hackney","Lewisham",12.2955620596344
"387","Hackney","Merton",6.01897104149515
"388","Hackney","Newham",18.9807673886296
"389","Hackney","Redbridge",5.96804569144728
"390","Hackney","Richmond upon Thames",12.4535402203603
"391","Hackney","Southwark",25.8088246942696
"392","Hackney","Sutton",9.00327083306004
"393","Hackney","Tower Hamlets",20.4709646096251
"394","Hackney","Waltham Forest",7.76844793150251
"395","Hackney","Wandsworth",14.1201796065246
"396","Hackney","Westminster",16.9817843804531
"397","Hammersmith and Fulham","Barking and Dagenham",13.6588763531111
"398","Hammersmith and Fulham","Barne",12.3958387633581
"399","Hammersmith and Fulham","Bexley",17.5275823898088
"400","Hammersmith and Fulham","Brent",14.1978915613409
"401","Hammersmith and Fulham","Bromley",21.5845013237711
"402","Hammersmith and Fulham","Camden",6.55884939236749
"403","Hammersmith and Fulham","City of London",4.67027636446006
"404","Hammersmith and Fulham","Croydon",8.00472563326081
"405","Hammersmith and Fulham","Ealing",21.9710254001507
"406","Hammersmith and Fulham","Enfield",18.8642406904517
"407","Hammersmith and Fulham","Greenwich",11.1072887399018
"408","Hammersmith and Fulham","Hackney",11.9598112079279
"409","Hammersmith and Fulham","Hammersmith and Fulham",0
"410","Hammersmith and Fulham","Haringey",12.6478016187639
"411","Hammersmith and Fulham","Harrow",5.22895623648007
"412","Hammersmith and Fulham","Havering",19.9188728098112
"413","Hammersmith and Fulham","Hillingdon",19.7129165731665
"414","Hammersmith and Fulham","Hounslow",26.5452058937759
"415","Hammersmith and Fulham","Islington",22.9938188985925
"416","Hammersmith and Fulham","Kensington and Chelsea",3.28188520691712
"417","Hammersmith and Fulham","Kingston upon Thames",10.5950397156992
"418","Hammersmith and Fulham","Lambeth",23.9922880646398
"419","Hammersmith and Fulham","Lewisham",11.5966503776318
"420","Hammersmith and Fulham","Merton",11.9471701290396
"421","Hammersmith and Fulham","Newham",18.361884676113
"422","Hammersmith and Fulham","Redbridge",7.5446794329432
"423","Hammersmith and Fulham","Richmond upon Thames",10.3390166789768
"424","Hammersmith and Fulham","Southwark",21.1529266187838
"425","Hammersmith and Fulham","Sutton",8.71271089599738
"426","Hammersmith and Fulham","Tower Hamlets",22.5959842840015
"427","Hammersmith and Fulham","Waltham Forest",4.52359421010315
"428","Hammersmith and Fulham","Wandsworth",5.82365362402259
"429","Hammersmith and Fulham","Westminster",14.0441525780313
"430","Haringey","Barking and Dagenham",25.1602033272573
"431","Haringey","Barne",13.4821147130238
"432","Haringey","Bexley",25.5083690279468
"433","Haringey","Brent",7.78609456109198
"434","Haringey","Bromley",23.3619167577674
"435","Haringey","Camden",7.21189862474782
"436","Haringey","City of London",9.1674264952598
"437","Haringey","Croydon",4.66271530308018
"438","Haringey","Ealing",18.1046472311515
"439","Haringey","Enfield",8.2398405413291
"440","Haringey","Greenwich",19.6658932735845
"441","Haringey","Hackney",19.3273084835846
"442","Haringey","Hammersmith and Fulham",12.6478016187639
"443","Haringey","Haringey",0
"444","Haringey","Harrow",13.2028725586693
"445","Haringey","Havering",14.1558447550684
"446","Haringey","Hillingdon",31.5371391982236
"447","Haringey","Hounslow",16.440306682967
"448","Haringey","Islington",10.5192340625379
"449","Haringey","Kensington and Chelsea",9.70694662985634
"450","Haringey","Kingston upon Thames",2.09990449736738
"451","Haringey","Lambeth",12.7708034186662
"452","Haringey","Lewisham",8.46455209147167
"453","Haringey","Merton",14.8668543058207
"454","Haringey","Newham",9.60150510914715
"455","Haringey","Redbridge",18.2781925001982
"456","Haringey","Richmond upon Thames",22.9156269523978
